,fid,mean_cruise_altitude,distance,mean_cruise_tas,takeoff_mass
22498,4d2027_33933,36750.95449790795,1385.9617229011703,437.9085086949404,62600.680440251715
22499,4d21b1_34000,36234.00692840647,1095.3037463838716,458.8303121870748,63290.734770663024
22500,503d32_35917,33975.438062789,2448.434042089679,457.0370901901917,70803.35626668743
22501,a0191e_36763,33661.5100671141,981.582670191356,453.88666954151097,69009.84018960032
22502,a0191e_36766,34944.95798319328,979.274739251129,452.9742630275061,66055.26887333312
22503,a031bd_37093,35001.244343891405,1074.7239987383173,442.6445512094281,66089.53601784796
22504,a0480b_37446,34898.17767653758,1002.856533299524,454.8131983226208,66203.25159870872
22505,a0480b_37447,33853.22041984733,1046.5362226750624,459.32757163675626,68680.47967353661
22506,a04bbe_37502,35487.9115710254,1232.9888306372418,449.3637134822754,65242.079228543545
22507,a06bd3_38134,35967.20283533261,1041.3429334193547,441.8221159604281,63811.58326063574
22508,a06bd3_38142,34485.67493112948,823.3046707370119,443.11717970987166,66843.705005352
22509,a07341_38254,33685.55389221557,1200.3213745427925,459.22364666393537,69329.63805918778
22510,a16adc_41130,34661.50234741784,1159.1836514953006,447.3679799780623,67015.41819265902
22511,a1d10c_42304,35812.84557661927,1894.2591505093108,441.62310074950113,65628.95280878799
22512,a1e241_42482,35002.12276906436,1654.7562544731975,447.12886053006775,67082.1051450722
22513,a1ed66_42570,34898.38895281933,1637.993689808981,459.88643723001945,67291.84355057515
22514,a2090d_42853,34979.714784633295,1448.3279670785407,448.9249897291001,66779.65534648106
22515,a21f57_43131,36732.02781844803,1033.6557891297875,435.6162783516323,62040.08897572031
22516,a21f57_43132,36001.014851485146,1112.6025041877162,452.0889869688588,63856.03998399543
22517,a2200a_43169,35417.06108970831,1637.5645764234418,450.0322610748148,66098.69378975409
22518,a223c1_43215,35101.93023255814,1260.867879202786,455.4335357289295,66177.24499233694
22519,a223c1_43221,35474.6387283237,1459.3317034704055,443.9022334028249,65660.70612472048
22520,a22778_43307,33879.4810058855,1402.764792700201,460.8051256865898,69230.93686845481
22521,a23c64_43577,34002.255695443644,2129.706468081989,451.5219623197033,70195.17703635537
22522,a24789_43738,36721.138139204544,1327.1194549946556,453.12427575857686,62568.32990817663
22523,a24ef7_43907,36600.500650195056,2347.152380162658,456.9566117418759,64594.735690886955
22524,a252ae_43944,36709.20843277645,1747.9705993233706,451.99999244638497,63317.39474800778
22525,a252ae_43945,35100.91227423516,1927.0123987280408,461.6873393746682,67321.83163842198
22526,a263e3_44179,38780.43958742633,1370.0401090886933,440.8361610253998,57907.64522193656
22527,a2679a_44222,37810.84358523726,1895.5852101398505,447.0133907803357,61037.88038536973
22528,a26f08_44324,36681.51680290645,1312.8094174396228,443.6980120873322,62634.88074387757
22529,a26f08_44327,35723.12942366026,2438.4315414017788,453.61092801657446,66768.30718890157
22530,a27676_44445,33977.41614268392,2446.2425154555103,456.166285574636,70795.05087340274
22531,a27676_44448,35967.56134969325,2106.5115921933066,454.4026517876649,65637.21714153167
22532,a27676_44449,34881.52441742955,2138.2670080995003,449.3179790788948,68188.4396363773
22533,a283f4_44661,35550.01330494944,1713.0187915129166,453.8702757065466,65922.42234468451
22534,a2b698_45465,33971.51974204046,2689.088560676574,458.8442303319971,71225.01771552704
22535,a2c1bd_45703,34887.557834009254,2062.575191969553,443.3479612577865,68044.7792571099
22536,a2d6a9_46039,32599.52290076336,1729.3719956044386,451.129755516003,72733.56523920869
22537,a362a5_48181,33604.256854256855,1296.7432168474547,460.0395612156668,69681.87361241694
22538,a362a5_48183,33984.64950237992,1288.4305651148688,456.0496929329418,68793.10685129004
22539,a362a5_48188,34974.52400662252,1183.3385930032412,452.3581586565577,66337.20819954599
22540,a362a5_48189,31010.30734632684,1269.168768434734,470.9778508182407,75598.01482252537
22541,a362a5_48190,32987.644787644786,834.5574130505037,463.00847137455423,70306.93314554659
22542,a36a13_48309,34831.84889434889,1346.1801542910464,455.8154326334185,66944.44110068932
22543,a37023_48375,34570.49013299013,2775.714151939565,454.3172615727984,69996.53812278433
22544,a382b6_48669,33987.68465909091,1537.7743036453512,465.04912203748125,69213.6819483181
22545,a39e7e_49041,33981.1053471668,1151.9706711389024,459.89075949099663,68567.26527681836
22546,a39e7e_49042,31750.68526676456,1511.1853596807302,456.5681096228628,74310.89384433039
