,fid,mean_cruise_altitude,distance,takeoff_mass,landing_mass,mean_cruise_tas,mean_cruise_mach,max_cruise_altitude
237,ac1-088,38000.29909613804,1602.0296239322613,60835.80956420898,55392.70104370117,447.45363304721405,0.696,38014.0
238,ac2-193,33947.07363013698,993.1215279395972,63321.49578857422,59475.03243408203,429.9467972627956,0.7439999999999999,33966.0
239,ac2-306,35950.56664600124,2097.7098665411654,65480.59550170899,58168.68638916015,435.33378627236095,0.010125232486050838,35966.0
240,ac2-470,33952.51633165829,1369.9454869991018,62650.17907104492,57642.519232177736,432.634880993602,0.492105527638191,33962.0
241,ac2-408,37514.89045801527,2923.7268763745715,65643.88875732422,56191.023626708986,444.069431317325,0.7599999999999999,38946.0
242,ac2-183,33945.22991689751,983.1794530454836,63085.62775268555,59184.73331298828,434.76893710648676,0.7439999999999999,33958.0
243,ac1-165,37998.29462041227,1377.9319966231071,59184.73331298828,54449.22890014649,441.1397082687866,0.7639939668174962,38014.0
244,ac2-075,36743.05282940071,2899.503976699116,66678.0793762207,57007.489904785165,443.1193948359306,0.7599999999999999,36958.0
245,ac2-264,34951.225576519915,2895.6273874205526,71014.4224975586,60745.09108886719,443.0290705900471,0.7599999999999999,34966.0
246,ac1-323,35003.61854460094,1942.088105804534,66605.50459594726,59747.18786010743,436.88872568396454,0.7439999999999999,35034.0
248,ac2-323,38001.22738608025,2507.700024724572,61870.00018310547,53995.636523437504,439.2939618685171,0.47236091589208795,38022.0
249,ac1-004,37002.67441860465,801.0370766227167,59202.87700805664,56100.3051513672,438.239878588886,0.7358023255813951,37022.0
250,ac2-135,37937.66290018833,956.7818944124624,61416.40780639648,57842.099877929686,437.66396553423453,0.0,37966.0
251,ac1-007,37997.36648501363,1221.1353218038694,67004.66588745118,62214.7303894043,444.1761995260536,0.7599999999999999,38010.0
253,ac2-257,33000.01844532279,1757.3684911060966,66623.64829101562,60091.91806640625,433.3459137182083,0.0,33010.0
254,ac2-349,33000.23175675676,1878.6719209876733,70252.3873046875,63267.06470336914,440.39126534368904,0.7599999999999998,33010.0
255,ac2-281,38001.359069767444,2664.466512124945,64065.38728637695,55574.13799438477,438.9304099467293,0.7559367441860465,38012.0
256,ac1-068,38002.06935758954,1262.493653077003,58803.71571655273,54467.372595214845,442.2653367297037,0.7599999999999998,38014.0
257,ac1-255,33000.76342938456,1554.488834675095,57987.24943847657,52580.42830810548,442.2119727124475,0.7599999999999999,33014.0
258,ac2-262,38940.395688991535,1206.9887868083354,63484.789044189456,58912.57788696289,447.9149193821989,0.7753841416474211,38958.0
259,ac1-084,37997.175670570454,1620.3319096354862,58967.00897216797,53705.33740234375,436.53555860044514,0.7279999999999999,38014.0
260,ac2-460,35948.19706877114,2628.966080287088,68746.46061401367,59765.33155517578,440.2003046557207,0.7599999999999999,35962.0
261,ac2-289,36000.58961260111,2791.16057702037,72048.61311645508,62105.86821899415,441.38307410027886,0.7600953597275436,36026.0
262,ac1-595,36998.1199538639,1263.621606448216,63457.57350158692,58767.42832641602,440.8217968286405,0.727432525951557,37018.0
267,ac2-263,37157.709526711355,2639.7005872720056,66569.21720581055,57823.95618286133,439.33311800541486,0.7306585415397114,38006.0
269,ac2-164,33001.35572885423,1495.4670476853732,67748.55738525391,61978.86235351562,440.4814820759222,0.7679999999999999,33010.0
270,ac1-587,34998.670825688074,1724.6101543367704,69871.36970825196,63593.65121459961,442.9234413160925,0.76,35012.0
271,ac1-591,34998.7502401537,1671.0978918121148,69363.3462463379,63013.05297241212,441.96528129550546,0.7589471661863592,35022.0
272,ac2-414,37276.150715071504,2128.4781992102,64899.997259521486,57769.52509765625,440.01278870462676,0.688,38016.0
273,ac2-445,32997.46459227468,1407.9831676955732,70107.23774414063,64482.69227294922,448.52597610737115,0.7687768240343349,33012.0
274,ac2-333,37997.97108066971,3316.926539442848,66986.52219238282,56082.161456298825,447.3275589883645,0.7600000000000001,38014.0
275,ac2-430,37998.25962399284,990.751039657258,57987.24943847657,54376.65411987305,439.59819851242565,0.7599999999999999,38014.0
276,ac1-196,38000.39187418087,1291.4416080053688,61870.00018310547,57043.77729492188,441.4543969469521,0.0,38014.0
277,ac1-516,36000.36246992783,1066.8199606848707,58477.12920532227,54576.234765625006,439.0254553740287,0.6799999999999998,36010.0
278,ac2-313,36996.44373284538,1435.5929189521603,67821.13216552735,62468.74212036133,446.2975288075586,0.7622763037511435,37018.0
280,ac2-148,37998.95965572889,1396.5102005175304,61652.27584228516,56717.19078369141,442.75879436711887,0.76,38014.0
281,ac1-099,33001.88974113135,1373.953564556896,67639.69521484376,62450.59842529298,438.9288532187137,0.6985426653883029,33012.0
282,ac1-546,35927.496226415096,979.1856494570264,60763.23478393555,56989.3462097168,434.85983897599954,0.7019622641509433,36014.0
284,ac2-092,37318.98178907344,2588.918761791804,70125.38143920898,61144.2523803711,440.31359890383015,0.7439999999999998,37952.0
286,ac2-440,37944.902556502406,1725.4203254593886,61924.43126831055,55973.29928588867,442.3190716953282,0.7370848462393478,37962.0
287,ac2-098,38993.210592686,1173.2682017080406,63811.37555541993,59475.03243408203,444.6200173697693,0.744,39026.0
288,ac2-393,36944.77988963826,1470.576189813965,70306.81838989258,64645.98552856445,445.2702390838186,0.76,36954.0
289,ac2-422,37906.71744471745,1354.113780796115,65353.58963623047,59094.01483764648,442.8397265282817,0.744,37954.0
290,ac2-040,37943.38185006576,1466.905737633779,58350.12333984375,53487.61306152344,434.19694739342475,0.7579377466023672,37956.0
